# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-1-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-1-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.6112,0.965456,0.380381,3,7,0,67.8958,0.75696,0.950496
-67.1173,0.98598,0.380381,2,7,0,68.0792,0.838476,0.933011
-67.576,0.968462,0.380381,3,7,0,68.5323,0.865425,0.677477
-66.9361,0.920653,0.380381,3,7,0,69.6792,0.842306,0.901076
-68.52,0.922622,0.380381,2,3,0,68.7518,0.635316,0.951445
-68.4161,0.890575,0.380381,2,7,0,70.9788,0.985364,0.91465
-68.3474,0.999234,0.380381,3,7,0,68.8815,0.981274,0.758811
-67.684,0.999998,0.380381,3,7,0,68.4122,0.963489,0.78228
-67.2553,0.977038,0.380381,1,3,0,68.3337,0.948071,0.85958
-67.1807,0.982279,0.380381,2,7,0,68.4797,0.812664,0.932925
-67.0287,0.991226,0.380381,3,7,0,67.5343,0.829323,0.795782
-67.8306,0.94886,0.380381,2,7,0,68.409,0.975015,0.857947
-67.8261,0.999537,0.380381,2,3,0,67.917,0.974544,0.843383
-72.2169,0.885645,0.380381,3,7,0,73.566,0.996496,0.467245
-69.9661,0.997635,0.380381,4,15,0,72.3041,0.996934,0.785293
-70.58,1,0.380381,3,7,0,70.7602,0.998559,0.834815
-67.6118,0.935234,0.380381,2,7,0,73.2997,0.932539,0.957288
-68.1122,0.992189,0.380381,3,7,0,68.6246,0.981847,0.857827
-67.2519,0.998312,0.380381,3,7,0,68.3608,0.936345,0.918447
-68.7657,0.963321,0.380381,4,15,0,69.6703,0.985301,0.953547
-69.9099,0.990253,0.380381,3,7,0,70.3951,0.980872,0.990728
-70.1644,0.997854,0.380381,3,15,0,71.1697,0.725499,0.996494
-67.712,0.97648,0.380381,3,7,0,71.0101,0.863767,0.971862
-68.8536,0.933854,0.380381,2,3,0,69.4572,0.596412,0.948194
-68.4953,0.998933,0.380381,3,7,0,69.5706,0.968928,0.65734
-69.0429,0.983541,0.380381,2,3,0,69.3828,0.982371,0.649419
-69.0811,1,0.380381,1,1,0,69.166,0.983482,0.652354
-68.8076,1,0.380381,2,3,0,69.0682,0.982092,0.68204
