# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-2-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-2-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.360383
# Diagonal elements of inverse mass matrix:
# 1.29157, 1.81102
-68.6135,0.984032,0.360383,3,15,0,68.8186,0.95393,0.98278
-68.6131,0.999383,0.360383,3,7,0,69.2469,0.901675,0.989143
-67.2831,0.986075,0.360383,2,7,0,69.4617,0.843576,0.949382
-69.4659,0.972225,0.360383,3,7,0,69.6117,0.969543,0.540532
-67.5524,0.890592,0.360383,1,3,0,71.9866,0.962968,0.822685
-67.3606,0.999163,0.360383,1,3,0,67.6387,0.954197,0.839925
-67.3651,0.931604,0.360383,2,7,0,69.5407,0.937881,0.932813
-67.2739,1,0.360383,3,7,0,67.5146,0.921898,0.936889
-67.6904,0.982532,0.360383,2,5,0,68.3775,0.746662,0.723279
-67.0688,1,0.360383,3,7,0,67.8785,0.845546,0.928272
-67.4259,0.971013,0.360383,2,5,0,68.4778,0.876121,0.702128
-67.6087,0.937949,0.360383,2,3,0,68.4547,0.885795,0.674772
-68.2035,0.980903,0.360383,3,15,0,68.3974,0.81504,0.982466
-66.9378,0.999585,0.360383,3,7,0,68.2674,0.831116,0.894094
-67.6733,0.978172,0.360383,2,7,0,68.1276,0.798742,0.68387
-67.7785,0.9829,0.360383,2,3,0,68.0893,0.819871,0.657692
-68.1523,0.966357,0.360383,1,1,0,68.1532,0.812838,0.610357
-69.6859,0.918475,0.360383,2,3,0,70.0042,0.75691,0.471608
-69.5982,0.899656,0.360383,3,7,0,74.559,0.75946,0.478597
-70.2632,0.975962,0.360383,3,7,0,72.4362,0.460786,0.783973
