# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 08:29:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a103b04951.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040929-1-29bfd2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040929-1-5af49c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.6112,0.965456,0.380381,3,7,0,67.8958,0.75696,0.950496,0.697413,0.680693,0.370977,0.721215,91,73,112,84
-68.4291,0.951795,0.380381,3,7,0,69.0563,0.980576,0.947517,0.512826,0.727223,0.403397,0.720615,116,88,112,87
-68.4506,1,0.380381,3,7,0,69.0786,0.986023,0.802347,0.43264,0.728302,0.557785,0.690476,116,91,104,81
-68.4604,0.999109,0.380381,2,3,0,68.5024,0.985543,0.789696,0.85055,0.728207,0.67875,0.687766,119,80,91,78
-66.948,0.9909,0.380381,2,7,0,68.8126,0.898974,0.896539,0.357651,0.710739,0.152065,0.710238,105,74,110,82
-68.0353,0.944166,0.380381,2,7,0,69.2176,0.812933,0.97863,0.826837,0.692734,0.599525,0.726836,105,86,115,86
-68.2358,1,0.380381,3,7,0,68.3405,0.861328,0.984561,0.126955,0.702938,0.938323,0.728012,104,85,120,80
-68.4224,0.968019,0.380381,3,15,0,69.475,0.980479,0.947339,0.441438,0.727203,0.684885,0.72058,117,93,112,83
-67.7318,0.995813,0.380381,3,15,0,68.4438,0.740329,0.72249,0.804891,0.677068,0.466958,0.673155,89,86,91,78
-68.2428,0.981418,0.380381,3,7,0,68.5347,0.674441,0.713991,0.721801,0.662497,0.241437,0.671282,84,87,95,75
-68.0478,0.989531,0.380381,3,7,0,69.1398,0.967841,0.951358,0.462584,0.724689,0.440639,0.721388,115,91,115,82
-68.0244,0.999474,0.380381,2,3,0,68.1578,0.967625,0.950069,0.864414,0.724646,0.758361,0.721129,116,85,118,82
-67.8198,1,0.380381,2,3,0,68.0446,0.961076,0.945513,0.372647,0.723337,0.355024,0.720212,117,93,111,84
-66.9888,0.996805,0.380381,2,7,0,67.8301,0.917486,0.874546,0.707203,0.71453,0.521919,0.705691,107,90,102,85
-66.892,0.998423,0.380381,2,7,0,67.1103,0.871245,0.832366,0.238783,0.705005,0.683853,0.696855,106,86,102,92
