# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 08:29:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a103b04951.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040929-2-29bfd2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040929-2-5af49c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.360383
# Diagonal elements of inverse mass matrix:
# 1.29157, 1.81102
-68.6135,0.984032,0.360383,3,15,0,68.8186,0.95393,0.98278,0.49209,0.721905,0.243736,0.727659,112,90,117,88
-68.7699,0.992452,0.360383,3,15,0,70.0358,0.925138,0.9896,0.680462,0.716088,0.66917,0.729009,112,88,119,88
-70.8178,0.994591,0.360383,2,7,0,71.3959,0.861513,0.998928,0.344359,0.702977,0.876711,0.730848,102,87,119,88
-72.8447,0.985649,0.360383,3,7,0,73.8403,0.850749,0.999858,0.329323,0.700724,0.256742,0.731031,98,89,120,86
-71.3209,0.999359,0.360383,4,15,0,74.5683,0.869002,0.999354,0.566766,0.704538,0.525879,0.730931,109,78,120,83
-71.8217,0.947432,0.360383,3,15,0,73.3457,0.987567,0.998053,0.533449,0.728607,0.61982,0.730676,119,80,119,91
-70.1284,0.998607,0.360383,4,15,0,72.8711,0.995372,0.96713,0.764178,0.730148,0.712932,0.724547,119,82,116,83
-71.1612,0.999364,0.360383,3,7,0,71.5117,0.99825,0.970064,0.783881,0.730714,0.553553,0.725132,120,84,113,93
-71.6328,0.997697,0.360383,2,3,0,71.6618,0.998471,0.979882,0.5052,0.730758,0.348573,0.727085,119,84,117,88
-68.2383,0.997242,0.360383,3,15,0,72.5988,0.931841,0.980311,0.451752,0.717449,0.388883,0.72717,111,88,113,92
-68.31,0.996794,0.360383,4,15,0,68.8996,0.945071,0.624051,0.202541,0.720123,0.348022,0.651139,116,87,73,81
-68.578,0.996963,0.360383,3,7,0,69.2995,0.972804,0.970871,0.363394,0.725678,0.282498,0.725293,114,88,118,86
