# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-06 12:37:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/emily/AppData/Local/Temp/RtmpOIJBhk/standata-25083a96236f.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503061337-1-7b578e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503061337-1-4a62bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.6112,0.965456,0.380381,3,7,0,67.8958,0.75696,0.950496,0.697413,0.680693,0.370977,0.721215,84,79,45,84
-69.4793,0.874912,0.380381,2,3,0,69.6176,0.534221,0.942925,0.396503,0.630467,0.406078,0.71969,41,77,54,82
-67.9443,1,0.380381,2,3,0,69.5506,0.691178,0.942833,0.663595,0.666229,0.410348,0.719672,84,84,46,84
-67.4901,1,0.380381,2,3,0,67.9541,0.742323,0.93125,0.745263,0.677504,0.85055,0.717329,91,78,93,79
-67.6699,0.961476,0.380381,2,7,0,68.6701,0.959998,0.767868,0.357651,0.723121,0.152065,0.68306,44,84,15,84
-69.8794,0.962333,0.380381,3,7,0,71.0935,0.499214,0.75283,0.744346,0.622275,0.835196,0.679795,98,77,98,66
-68.235,0.990328,0.380381,2,3,0,70.3357,0.619964,0.855003,0.713884,0.65021,0.126955,0.701616,94,71,16,82
-67.1115,0.976114,0.380381,2,3,0,68.8774,0.777358,0.887772,0.753614,0.68511,0.637667,0.70843,87,83,77,74
-66.9778,0.993275,0.380381,2,3,0,67.2792,0.81051,0.839117,0.716007,0.692218,0.489419,0.698279,78,86,60,81
-67.0103,0.960954,0.380381,3,7,0,67.9831,0.797403,0.851876,0.459447,0.689419,0.44206,0.700961,43,81,56,78
-67.1573,0.990102,0.380381,2,7,0,67.3819,0.922679,0.920675,0.241437,0.715588,0.452111,0.71518,18,80,47,89
-67.2636,0.976903,0.380381,2,5,0,68.6382,0.857207,0.949029,0.482426,0.702077,0.462584,0.72092,55,88,53,82
-66.9272,0.999519,0.380381,3,7,0,67.3603,0.904454,0.870906,0.352203,0.711864,0.785572,0.704934,39,89,99,77
-66.995,0.993207,0.380381,2,7,0,67.2406,0.840123,0.799575,0.356005,0.698491,0.743962,0.689884,38,87,83,88
