# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-06 12:37:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/emily/AppData/Local/Temp/RtmpOIJBhk/standata-25083a96236f.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503061337-2-7b578e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503061337-2-4a62bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.360383
# Diagonal elements of inverse mass matrix:
# 1.29157, 1.81102
-68.6135,0.984032,0.360383,3,15,0,68.8186,0.95393,0.98278,0.49209,0.721905,0.243736,0.727659,62,87,26,87
-67.6244,0.993085,0.360383,2,7,0,68.7721,0.935576,0.956436,0.575454,0.718205,0.207959,0.722408,76,86,30,86
-67.5942,0.998899,0.360383,3,7,0,68.2013,0.860905,0.967445,0.595428,0.70285,0.455993,0.72461,75,95,65,81
-68.5323,0.984101,0.360383,2,7,0,68.7255,0.76769,0.984938,0.346494,0.683021,0.443049,0.728087,36,85,53,83
-69.5632,0.942151,0.360383,4,15,0,70.496,0.982072,0.58115,0.53752,0.727519,0.802598,0.641332,73,91,96,84
-67.1615,0.998062,0.360383,3,7,0,70.2632,0.782982,0.912033,0.532609,0.686322,0.267696,0.713416,58,88,31,86
-67.0505,0.996762,0.360383,3,7,0,67.6009,0.91373,0.80769,0.22564,0.713763,0.187741,0.691617,19,83,26,81
-67.4226,0.978323,0.360383,2,3,0,67.485,0.898033,0.709298,0.30984,0.710545,0.397203,0.670246,38,79,49,76
-67.3412,0.992838,0.360383,3,7,0,68.7773,0.817825,0.949453,0.783881,0.693774,0.553553,0.721005,85,89,63,85
-67.8502,0.975974,0.360383,3,15,0,68.3417,0.966739,0.936568,0.847947,0.724469,0.854938,0.718406,103,82,102,77
-67.7336,1,0.360383,2,3,0,67.9039,0.967142,0.919309,0.456506,0.724549,0.24442,0.714901,46,90,23,90
-68.0863,0.995537,0.360383,3,7,0,68.5011,0.652397,0.922141,0.445769,0.65755,0.202541,0.715478,37,77,33,87
-67.9703,1,0.360383,3,15,0,68.8992,0.708127,0.954234,0.567464,0.669987,0.843165,0.721966,71,77,103,76
