# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-06 12:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/emily/AppData/Local/Temp/RtmpOIJBhk/standata-250855cd7c9f.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503061343-1-36e071.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503061343-1-9310ca.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.326923
# Diagonal elements of inverse mass matrix:
# 1.44149, 1.34346
-67.0773,0.960819,0.326923,3,11,0,72.7915,0.732217,0.931092,0.431075,0.675292,0.330296,0.717297,44,81,35,82
-66.5843,0.989097,0.326923,4,15,0,68.0167,0.920655,0.657724,0.304881,0.715176,0.14084,0.658749,35,89,14,84
-67.6605,0.986053,0.326923,3,7,0,68.3182,0.649609,0.780138,0.786878,0.656922,0.575522,0.68571,97,81,71,79
-66.1707,1,0.326923,2,3,0,67.6729,0.816798,0.839836,0.58473,0.693556,0.571901,0.698431,68,82,73,88
-65.9693,0.984811,0.326923,1,3,0,66.5772,0.870889,0.845158,0.344028,0.704931,0.442765,0.69955,41,73,62,82
-66.9758,0.944879,0.326923,3,15,0,68.7973,0.821094,0.965397,0.447043,0.694468,0.281626,0.724201,44,83,32,92
-66.3015,0.998766,0.326923,3,7,0,67.0676,0.932923,0.922883,0.69852,0.717668,0.563627,0.715629,78,82,71,83
-66.7344,0.994456,0.326923,2,7,0,66.8109,0.955345,0.944455,0.490587,0.722189,0.709298,0.719999,51,85,84,85
-66.1167,0.99722,0.326923,3,15,0,67.6596,0.94104,0.836576,0.47847,0.71931,0.774258,0.697744,51,87,94,91
-66.1678,0.998345,0.326923,3,7,0,66.3107,0.914701,0.743481,0.360418,0.713961,0.397239,0.677757,45,79,51,83
-66.1672,0.997732,0.326923,3,7,0,66.3852,0.9388,0.78509,0.123835,0.718857,0.574933,0.686776,12,82,80,89
-66.1097,0.977791,0.326923,2,7,0,67.848,0.881069,0.753941,0.413844,0.707044,0.538879,0.680037,56,81,59,81
-66.1494,0.999716,0.326923,4,15,0,66.2234,0.909878,0.91419,0.598146,0.712975,0.427654,0.713857,71,80,49,89
-66.1329,0.98209,0.326923,3,7,0,67.2036,0.85107,0.899871,0.78925,0.700791,0.111587,0.710923,96,91,16,82
-68.314,0.917152,0.326923,2,3,0,68.7071,0.62289,0.941889,0.293989,0.650876,0.340088,0.719481,30,82,37,82
-67.3664,0.988937,0.326923,3,7,0,69.785,0.951274,0.976103,0.230325,0.721371,0.500681,0.726334,19,82,58,78
-71.6384,0.972111,0.326923,3,7,0,73.3379,0.527522,0.418996,0.611476,0.628905,0.133163,0.603243,78,76,16,70
-66.2361,1,0.326923,3,7,0,71.99,0.924658,0.920033,0.611391,0.71599,0.335439,0.715049,74,91,42,82
-66.4662,0.990809,0.326923,4,15,0,67.2559,0.856412,0.681626,0.40917,0.701911,0.10275,0.664102,55,84,10,88
-66.2243,0.987788,0.326923,3,7,0,67.3881,0.895821,0.926908,0.516501,0.71009,0.308233,0.716448,76,84,42,95
-66.3576,0.995898,0.326923,4,15,0,66.5929,0.937525,0.723294,0.176306,0.7186,0.695618,0.673332,16,86,66,78
-66.2653,0.991046,0.326923,3,7,0,67.0318,0.81681,0.774817,0.367587,0.693559,0.807353,0.684562,41,85,96,91
-66.2198,0.999933,0.326923,4,15,0,66.333,0.841863,0.751554,0.522027,0.698857,0.0980009,0.679517,62,83,15,73
-66.7686,0.976793,0.326923,2,3,0,66.8882,0.866815,0.623916,0.795746,0.704083,0.440539,0.651109,92,86,52,78
-66.0068,0.99935,0.326923,3,15,0,66.9856,0.922453,0.854276,0.837633,0.715542,0.795594,0.701463,102,89,91,86
-66.1208,0.992935,0.326923,2,7,0,66.4006,0.897185,0.912112,0.702019,0.710371,0.57727,0.713432,72,80,78,82
-66.135,0.997788,0.326923,4,15,0,66.4965,0.882042,0.913745,0.376997,0.707245,0.805843,0.713766,48,83,90,94
-66.2035,0.995108,0.326923,3,7,0,66.4016,0.850124,0.913002,0.249532,0.700593,0.424129,0.713614,32,84,49,87
-66.6527,0.993085,0.326923,3,15,0,66.8961,0.936694,0.952239,0.733153,0.718431,0.429743,0.721565,89,79,47,88
-67.6333,0.992797,0.326923,3,7,0,67.9745,0.847855,0.985503,0.431213,0.700117,0.928613,0.728199,55,81,116,88
-67.685,0.991759,0.326923,4,15,0,68.1947,0.948383,0.526907,0.188316,0.72079,0.464271,0.628761,23,88,63,84
-67.0103,0.998017,0.326923,3,7,0,68.4009,0.960524,0.646352,0.668216,0.723227,0.74003,0.656188,71,88,80,71
-67.1906,0.998022,0.326923,2,3,0,67.2181,0.96538,0.631666,0.934824,0.724198,0.686142,0.652867,114,84,75,82
-66.527,1,0.326923,3,7,0,67.3956,0.959716,0.914066,0.39099,0.723065,0.678364,0.713832,37,89,79,91
-66.0091,1,0.326923,3,7,0,66.5588,0.890341,0.886559,0.191286,0.708961,0.132079,0.708179,26,89,16,85
-66.0705,0.99158,0.326923,2,5,0,66.594,0.918525,0.779402,0.265393,0.714741,0.274191,0.685551,35,90,29,87
-66.1798,0.992585,0.326923,3,15,0,66.599,0.945614,0.868835,0.705249,0.720232,0.241229,0.704503,84,81,40,79
-67.565,0.961813,0.326923,2,7,0,69.0466,0.987254,0.928346,0.119693,0.728545,0.382461,0.71674,16,89,49,95
-67.2202,0.999987,0.326923,2,3,0,67.5972,0.984515,0.901525,0.258398,0.728003,0.587654,0.711263,25,89,83,82
-67.8207,0.993882,0.326923,3,7,0,68.1265,0.986919,0.952095,0.621972,0.728479,0.757544,0.721536,76,88,89,84
-67.5533,0.989627,0.326923,3,7,0,69.558,0.990473,0.819722,0.410183,0.729181,0.280785,0.694177,49,89,33,83
-67.7752,0.967511,0.326923,3,7,0,69.1055,0.989085,0.70282,0.413665,0.728907,0.479191,0.668813,49,86,62,76
-67.3126,0.998774,0.326923,3,7,0,68.0538,0.978934,0.678894,0.293805,0.726897,0.256307,0.663492,41,79,29,74
-67.1195,0.998033,0.326923,4,15,0,67.6577,0.981444,0.748498,0.196291,0.727395,0.313023,0.678851,17,84,45,82
-67.1289,0.999959,0.326923,3,7,0,67.4524,0.98498,0.840259,0.794316,0.728095,0.751616,0.69852,98,89,92,83
-66.2673,0.999645,0.326923,3,7,0,67.323,0.951036,0.794557,0.753928,0.721323,0.672571,0.688809,103,80,69,73
-66.2615,0.994293,0.326923,2,7,0,66.9098,0.807966,0.797807,0.525063,0.691676,0.48426,0.689505,65,77,58,85
-66.2689,0.968909,0.326923,2,7,0,67.8382,0.895491,0.93195,0.65898,0.710022,0.528087,0.717471,82,87,65,86
-66.0958,0.998044,0.326923,3,7,0,66.4932,0.931116,0.793854,0.39199,0.717302,0.531335,0.688658,48,83,61,82
-67.3931,0.981738,0.326923,3,7,0,67.4562,0.9888,0.840774,0.368254,0.728851,0.213432,0.698628,50,87,27,84
-68.9732,0.970095,0.326923,3,15,0,70.0697,0.758768,0.993891,0.747006,0.681086,0.187414,0.729856,91,79,25,87
-68.7605,0.950144,0.326923,4,15,0,70.7572,0.979971,0.482569,0.478404,0.727103,0.233789,0.618354,58,92,17,82
-69.2169,0.996877,0.326923,2,3,0,69.4257,0.985165,0.461391,0.504046,0.728132,0.688488,0.613344,61,81,83,71
-68.8044,0.999725,0.326923,4,15,0,69.7771,0.732773,0.990948,0.564275,0.675413,0.40282,0.729275,65,77,50,85
-69.1227,0.98387,0.326923,2,3,0,69.2436,0.687257,0.989899,0.721783,0.665356,0.233192,0.729068,83,81,29,88
-68.8147,0.999543,0.326923,3,7,0,70.0931,0.908074,0.996063,0.595515,0.712606,0.714658,0.730284,80,81,89,82
-68.6043,0.996468,0.326923,3,7,0,69.1843,0.945867,0.994004,0.251606,0.720283,0.172709,0.729878,25,84,21,88
-66.2576,0.995998,0.326923,3,15,0,69.2373,0.848448,0.920371,0.51361,0.700241,0.565193,0.715118,59,89,67,88
-66.4315,0.992128,0.326923,1,3,0,66.5077,0.823588,0.929035,0.488205,0.694997,0.471867,0.716879,61,83,54,88
-66.2357,0.997796,0.326923,3,7,0,66.8562,0.864985,0.727149,0.918394,0.703701,0.377192,0.674179,109,88,47,81
-67.2717,0.946057,0.326923,3,15,0,68.2182,0.936717,0.977269,0.581447,0.718436,0.557754,0.726566,68,83,70,89
-67.1386,0.997442,0.326923,3,15,0,67.5985,0.881382,0.977169,0.766916,0.707109,0.40885,0.726546,97,82,53,92
-66.0907,0.999528,0.326923,3,11,0,67.4982,0.878805,0.905008,0.709646,0.706575,0.683826,0.711978,78,90,84,88
-66.0727,0.988007,0.326923,3,11,0,66.8589,0.932406,0.812485,0.56718,0.717563,0.621753,0.692639,64,81,78,93
-68.7612,0.930943,0.326923,3,11,0,68.9974,0.832249,0.995226,0.321207,0.69683,0.429219,0.730119,34,80,50,90
-68.6478,0.980923,0.326923,4,15,0,69.8151,0.980469,0.9876,0.716814,0.727201,0.871925,0.728614,91,80,104,82
-67.118,0.997767,0.326923,3,11,0,69.0341,0.760136,0.659269,0.525305,0.681383,0.242816,0.659096,63,76,25,82
-65.9876,0.975645,0.326923,4,15,0,68.3173,0.863993,0.829683,0.574802,0.703494,0.530872,0.696288,75,90,71,78
-65.9549,0.997598,0.326923,2,5,0,66.0915,0.903893,0.847981,0.271647,0.711749,0.222322,0.700144,27,83,22,86
-66.4327,0.973474,0.326923,2,7,0,67.2228,0.914371,0.944338,0.694092,0.713894,0.806358,0.719975,86,83,94,87
-66.8033,0.996813,0.326923,3,7,0,67.0813,0.826813,0.641563,0.210628,0.695681,0.488768,0.655107,31,85,59,78
-67.3159,0.968089,0.326923,3,7,0,68.3197,0.675459,0.817016,0.619505,0.662724,0.766765,0.693603,80,75,90,79
-67.6111,0.987997,0.326923,3,7,0,68.3365,0.65512,0.8954,0.360885,0.658163,0.750688,0.710003,46,85,97,88
-66.8042,0.966552,0.326923,2,3,0,68.4637,0.755766,0.921267,0.794037,0.680434,0.170405,0.7153,91,81,14,84
-67.9707,0.988656,0.326923,3,11,0,69.6343,0.896477,0.990734,0.768287,0.710225,0.830215,0.729233,97,79,101,93
-68.0025,0.996223,0.326923,3,7,0,68.9081,0.919632,0.990615,0.50252,0.714967,0.771763,0.729209,64,87,90,91
-68.2273,0.997606,0.326923,3,7,0,68.3181,0.94477,0.991241,0.311255,0.720062,0.247586,0.729333,30,78,29,91
-66.5589,0.993257,0.326923,4,15,0,69.122,0.763495,0.795742,0.198545,0.682112,0.314046,0.689063,25,86,32,81
-66.765,0.998425,0.326923,4,15,0,67.018,0.971772,0.910528,0.337716,0.725473,0.27691,0.713108,44,90,38,93
-66.673,0.999378,0.326923,2,3,0,66.859,0.968891,0.907275,0.501814,0.724898,0.720574,0.712442,62,91,90,83
-66.3857,0.999716,0.326923,4,15,0,66.8408,0.785761,0.873903,0.327747,0.68692,0.813589,0.705557,34,80,99,87
-67.4244,0.94657,0.326923,4,15,0,68.0192,0.989034,0.818926,0.66721,0.728897,0.466611,0.694008,73,85,57,86
-66.1262,0.996721,0.326923,3,11,0,67.4275,0.938556,0.87374,0.823813,0.718808,0.547721,0.705523,103,88,70,88
-67.1004,0.969124,0.326923,2,7,0,68.2773,0.984476,0.846273,0.760745,0.727995,0.314657,0.699785,93,82,40,95
-67.8582,0.976291,0.326923,4,15,0,69.3985,0.940408,0.98761,0.415908,0.719182,0.561614,0.728616,52,95,71,92
-68.1437,0.996726,0.326923,3,7,0,68.3221,0.96584,0.986774,0.235342,0.72429,0.402927,0.72845,27,88,43,85
-72.4192,0.980427,0.326923,3,15,0,74.5843,0.99518,0.99902,0.455139,0.73011,0.303867,0.730866,51,88,49,96
-71.0324,0.992096,0.326923,3,15,0,73.1048,0.996209,0.994957,0.427265,0.730313,0.297061,0.730066,53,84,35,84
-70.8059,1,0.326923,2,3,0,71.0855,0.99604,0.993908,0.774801,0.730279,0.520347,0.729859,95,96,65,91
-69.5791,1,0.326923,3,7,0,70.9606,0.98782,0.992773,0.371351,0.728657,0.318076,0.729635,51,92,35,82
