# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-06 12:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/emily/AppData/Local/Temp/RtmpOIJBhk/standata-250855cd7c9f.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503061343-2-36e071.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/emily/OneDrive/R/R - Datascripts/Msc Advanced Comp Modelling/Portfolio/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503061343-2-9310ca.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.228292
# Diagonal elements of inverse mass matrix:
# 1.45037, 1.82274
-67.4746,0.998118,0.228292,3,15,0,67.638,0.9703,0.968749,0.764228,0.725179,0.527153,0.72487,94,86,66,96
-66.9845,0.999651,0.228292,4,15,0,67.8536,0.719064,0.77091,0.494494,0.672401,0.542793,0.683718,57,74,70,84
-68.3753,0.976862,0.228292,4,15,0,68.4374,0.995687,0.892005,0.139619,0.73021,0.296988,0.709304,19,81,33,87
-66.3331,0.997853,0.228292,4,15,0,69.1206,0.958561,0.860182,0.401127,0.722834,0.344241,0.702699,55,76,36,81
-66.1283,0.99413,0.228292,2,7,0,67.5312,0.857194,0.903118,0.177117,0.702074,0.544044,0.71159,21,89,61,86
-67.1069,0.988202,0.228292,4,15,0,67.8723,0.97,0.664307,0.374143,0.725119,0.503242,0.660227,48,85,72,90
-66.9175,0.99978,0.228292,4,15,0,67.5707,0.980226,0.871984,0.70461,0.727153,0.045504,0.705158,88,88,7,83
-66.3531,0.999763,0.228292,3,15,0,67.0303,0.957837,0.798681,0.195195,0.722689,0.31335,0.689692,29,91,39,86
-68.1724,0.988467,0.228292,4,15,0,68.4842,0.992335,0.688473,0.538501,0.729549,0.402753,0.665627,72,84,43,74
-66.9217,0.983488,0.228292,2,7,0,69.6408,0.976949,0.909603,0.112995,0.726502,0.777024,0.712919,15,84,92,93
-66.7595,0.998092,0.228292,4,15,0,68.3693,0.976824,0.847521,0.574328,0.726478,0.369131,0.700047,53,95,45,86
-70.2869,0.974033,0.228292,4,15,0,70.5931,0.997734,0.981257,0.144852,0.730613,0.462433,0.727358,16,80,54,90
-67.636,0.997993,0.228292,4,15,0,71.5221,0.977534,0.966411,0.293274,0.726619,0.752556,0.724404,39,93,84,88
