# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-11 07:28:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpUxxAsl/standata-560c52aa6cbe.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503110828-1-8bf2bf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503110828-1-542326.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.293665
# Diagonal elements of inverse mass matrix:
# 1.4146, 1.68843
-64.2088,0.965122,0.293665,3,15,0,64.4424,0.993147,0.624944,0.757243,0.729709,0.571831,0.651342,119,90,73,69
-63.5271,0.98308,0.293665,3,7,0,65.1226,0.988536,0.915093,0.75153,0.728799,0.234504,0.714041,120,86,110,83
-62.8345,1,0.293665,3,7,0,63.5822,0.975499,0.899395,0.423392,0.726214,0.21338,0.710825,119,91,108,90
-64.1175,0.986164,0.293665,2,7,0,65.1599,0.994941,0.719741,0.369788,0.730063,0.0796495,0.67255,119,90,85,77
-62.7835,0.993404,0.293665,4,15,0,64.6077,0.923564,0.943561,0.773472,0.715768,0.394638,0.719818,113,86,114,84
-63.9258,0.987364,0.293665,3,15,0,64.711,0.817587,0.538135,0.537877,0.693724,0.72414,0.631379,98,86,54,78
-63.5187,1,0.293665,2,3,0,64.1167,0.812822,0.616929,0.587922,0.69271,0.588421,0.64952,91,82,72,86
-62.6856,1,0.293665,3,7,0,63.7256,0.908891,0.638494,0.813356,0.712773,0.476555,0.654413,112,92,62,72
-62.6604,1,0.293665,3,7,0,62.9355,0.870486,0.695662,0.466948,0.704847,0.133561,0.667225,102,86,84,74
-62.5802,0.991529,0.293665,3,7,0,63.244,0.971378,0.766597,0.648052,0.725394,0.655647,0.682784,117,85,94,75
-63.3427,0.991505,0.293665,3,11,0,64.0558,0.989551,0.77408,0.880031,0.728999,0.787466,0.684403,116,83,88,88
-63.6782,0.989985,0.293665,4,15,0,64.1852,0.774171,0.912297,0.549387,0.684423,0.665097,0.71347,94,80,105,85
-64.5107,0.889139,0.293665,2,3,0,65.8348,0.705011,0.894007,0.536002,0.669298,0.626364,0.709716,82,79,109,95
-65.3916,0.973064,0.293665,4,15,0,67.3142,0.998764,0.865257,0.607286,0.730815,0.828653,0.703758,120,97,106,81
-62.2829,0.983131,0.293665,3,9,0,66.4481,0.937573,0.749555,0.537851,0.718609,0.38143,0.679082,109,88,89,69
-62.7097,0.991081,0.293665,3,7,0,62.838,0.873155,0.67695,0.499999,0.705402,0.634349,0.663058,101,87,84,80
-63.2731,0.978624,0.293665,2,3,0,63.3582,0.8078,0.68542,0.36176,0.69164,0.323302,0.664947,94,76,71,77
-63.4111,0.970458,0.293665,3,15,0,65.0351,0.956554,0.969407,0.169412,0.722431,0.434621,0.725001,114,91,118,85
-63.3353,0.998947,0.293665,3,7,0,63.7207,0.974154,0.95311,0.71281,0.725947,0.307672,0.72174,114,90,116,94
-63.2144,0.998523,0.293665,4,15,0,64.2592,0.986142,0.888546,0.302709,0.728325,0.611865,0.70859,114,81,111,80
-63.4467,0.992814,0.293665,3,15,0,64.7938,0.906422,0.97306,0.772534,0.712267,0.312221,0.725729,110,81,116,81
-64.4671,0.986715,0.293665,4,15,0,65.4736,0.934352,0.38166,0.340898,0.717957,0.505018,0.594273,112,79,45,74
-63.3467,0.978588,0.293665,3,7,0,67.1175,0.986763,0.906454,0.33341,0.728448,0.231831,0.712274,119,82,113,78
-63.4958,0.997387,0.293665,3,7,0,63.9931,0.990851,0.752698,0.256432,0.729256,0.353731,0.679766,120,87,91,88
-62.7649,0.999055,0.293665,2,7,0,63.6182,0.97899,0.840718,0.247972,0.726908,0.724272,0.698616,118,80,100,90
-62.3,0.99568,0.293665,4,15,0,63.1817,0.914067,0.744508,0.516407,0.713832,0.729636,0.677981,108,81,94,83
-62.6213,0.989676,0.293665,4,15,0,63.0096,0.969849,0.882171,0.707508,0.725089,0.879225,0.707272,117,93,115,83
-64.1721,0.95814,0.293665,2,7,0,66.8363,0.989137,0.557681,0.347723,0.728917,0.409379,0.635916,120,93,73,80
-62.5838,1,0.293665,4,15,0,64.2457,0.891878,0.913273,0.415613,0.709278,0.322881,0.71367,110,84,113,86
-63.493,0.985505,0.293665,3,7,0,63.6468,0.972323,0.963175,0.862639,0.725582,0.527852,0.723757,116,86,117,78
-64.598,0.991166,0.293665,3,7,0,64.9486,0.958188,0.381546,0.734499,0.722759,0.598935,0.594246,117,83,44,63
-63.2033,1,0.293665,3,15,0,64.9881,0.956226,0.96127,0.184659,0.722366,0.70034,0.723376,115,82,115,82
-63.8612,0.979849,0.293665,3,11,0,66.0886,0.993976,0.862444,0.22069,0.729872,0.437989,0.703171,118,92,101,86
-65.8867,0.98364,0.293665,2,7,0,66.4621,0.998656,0.947362,0.425003,0.730794,0.847188,0.720584,120,83,116,83
-65.4468,0.998668,0.293665,3,7,0,66.2543,0.997207,0.962231,0.328957,0.730509,0.325152,0.723568,120,84,115,90
-63.832,0.999975,0.293665,4,15,0,65.6357,0.99082,0.64936,0.729181,0.72925,0.674008,0.656866,120,85,79,77
-63.0479,0.962815,0.293665,3,11,0,68.0118,0.84793,0.930716,0.459043,0.700133,0.14616,0.71722,105,86,117,87
-62.6311,0.999697,0.293665,4,15,0,63.2461,0.975013,0.826444,0.745638,0.726118,0.462345,0.695602,118,89,94,88
-62.9621,0.993737,0.293665,3,7,0,63.2867,0.981372,0.728629,0.443173,0.72738,0.580417,0.674504,114,89,86,75
-62.2495,0.99783,0.293665,4,15,0,63.2349,0.90947,0.844843,0.283282,0.712892,0.678833,0.699484,109,76,99,86
-62.3108,0.999015,0.293665,4,15,0,62.3588,0.947721,0.865372,0.78925,0.720657,0.111587,0.703782,116,93,100,81
-64.0786,0.971917,0.293665,4,15,0,64.801,0.995435,0.837748,0.509805,0.73016,0.163968,0.697991,118,80,104,92
-62.9426,0.993905,0.293665,3,11,0,64.398,0.983399,0.787237,0.674268,0.727782,0.776882,0.687238,119,88,86,83
-62.8131,0.994982,0.293665,4,15,0,63.4299,0.963129,0.646326,0.744735,0.723748,0.701963,0.656182,115,86,72,88
-62.8471,0.999037,0.293665,1,1,0,62.861,0.964555,0.643373,0.44497,0.724033,0.625601,0.655516,119,91,68,78
-64.261,0.958794,0.293665,3,11,0,64.5958,0.86935,0.986019,0.615587,0.70461,0.625995,0.728301,105,85,118,94
-62.7799,0.995775,0.293665,4,15,0,64.6604,0.979826,0.815571,0.204002,0.727074,0.679965,0.693295,116,84,102,96
-63.3587,0.989819,0.293665,3,15,0,64.2954,0.805752,0.918859,0.376463,0.691204,0.220157,0.714809,95,85,111,99
-62.9772,0.966938,0.293665,3,11,0,64.5679,0.983322,0.861906,0.214528,0.727767,0.209124,0.703059,119,83,106,76
-62.3652,0.996059,0.293665,3,11,0,63.5375,0.882786,0.835866,0.467891,0.707399,0.244989,0.697594,108,85,101,80
-62.3416,0.998804,0.293665,4,15,0,62.5819,0.923339,0.721996,0.74305,0.715722,0.314566,0.673046,108,83,93,76
-62.3308,0.999946,0.293665,4,15,0,62.4298,0.933281,0.726472,0.772093,0.717741,0.281683,0.674031,117,83,82,85
-62.4275,0.997205,0.293665,3,7,0,62.698,0.887354,0.737847,0.469661,0.708344,0.437689,0.676525,111,80,92,92
-62.4749,0.992569,0.293665,4,15,0,62.8926,0.892141,0.895493,0.249532,0.709332,0.424129,0.710022,107,87,105,85
-62.5598,0.997524,0.293665,3,7,0,62.79,0.920156,0.92275,0.625016,0.715074,0.643226,0.715602,110,81,108,84
-63.2675,0.989819,0.293665,3,11,0,63.6918,0.940583,0.533222,0.16518,0.719217,0.555224,0.630234,114,92,68,88
-62.9669,0.999384,0.293665,2,3,0,63.3256,0.939177,0.581171,0.422888,0.718933,0.251915,0.641337,113,86,67,75
-63.4128,0.991453,0.293665,3,15,0,64.4342,0.989696,0.874615,0.225775,0.729028,0.911808,0.705705,118,95,106,84
-62.6564,0.96955,0.293665,4,15,0,66.2019,0.865853,0.8979,0.865874,0.703882,0.482338,0.710518,101,77,106,82
-62.391,0.998854,0.293665,3,7,0,62.911,0.944407,0.892407,0.39099,0.719989,0.678364,0.709387,110,83,101,94
-62.9327,0.98758,0.293665,3,11,0,63.5209,0.960233,0.613651,0.382176,0.723168,0.191286,0.648773,111,87,71,82
-62.9635,0.999439,0.293665,3,15,0,63.1856,0.861894,0.933674,0.547241,0.703056,0.289762,0.71782,99,86,116,88
-62.2515,0.999099,0.293665,3,11,0,63.1157,0.943602,0.780088,0.705249,0.719827,0.241229,0.685699,115,81,85,77
-63.1632,0.957475,0.293665,2,7,0,65.1218,0.985537,0.884701,0.119693,0.728205,0.382461,0.707795,119,97,107,90
-63.0934,0.999097,0.293665,4,15,0,63.4586,0.977965,0.925296,0.75024,0.726704,0.752967,0.71612,118,92,113,88
-63.659,0.99784,0.293665,3,7,0,63.7947,0.989688,0.920281,0.623049,0.729026,0.385905,0.715099,120,86,113,80
-63.073,0.997571,0.293665,3,15,0,64.0942,0.970237,0.617201,0.413665,0.725167,0.479191,0.649582,118,86,69,74
-62.8994,0.999164,0.293665,3,7,0,63.3477,0.952631,0.605866,0.293805,0.721644,0.256307,0.646997,115,78,75,72
-62.6933,0.997786,0.293665,3,7,0,63.2553,0.877396,0.916436,0.69962,0.706282,0.838675,0.714315,105,90,113,80
-63.187,0.988857,0.293665,3,7,0,63.6717,0.900058,0.962752,0.695535,0.710961,0.681441,0.723672,110,74,117,81
-64.0893,0.977596,0.293665,3,15,0,65.6169,0.96828,0.982657,0.628728,0.724776,0.358919,0.727635,118,88,119,77
-62.4989,0.999512,0.293665,3,7,0,64.614,0.948135,0.908307,0.687559,0.72074,0.88613,0.712654,118,88,112,88
-63.5583,0.960724,0.293665,4,15,0,65.7956,0.98722,0.64681,0.65898,0.728539,0.528087,0.656291,120,89,79,78
-62.4892,0.999217,0.293665,4,15,0,63.7718,0.952411,0.902035,0.578539,0.7216,0.638576,0.711367,111,86,111,89
-62.3316,0.998992,0.293665,3,15,0,62.7642,0.894311,0.85664,0.543111,0.709779,0.73844,0.701958,111,83,99,77
-63.2422,0.98356,0.293665,3,7,0,63.4334,0.847058,0.605733,0.170057,0.69995,0.760806,0.646967,101,86,74,74
-63.3503,0.979481,0.293665,3,11,0,64.323,0.987525,0.898528,0.803727,0.728599,0.476696,0.710647,118,88,113,86
-63.7269,0.991521,0.293665,4,15,0,65.3982,0.987939,0.621436,0.801189,0.728681,0.399397,0.650545,120,85,68,76
