# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-11 07:28:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpUxxAsl/standata-560c52aa6cbe.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503110828-2-8bf2bf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503110828-2-542326.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.224526
# Diagonal elements of inverse mass matrix:
# 1.64543, 2.22938
-64.1231,0.999929,0.224526,3,7,0,64.2927,0.995563,0.850673,0.606785,0.730185,0.304022,0.700708,119,83,94,85
-64.6991,0.999692,0.224526,3,7,0,64.7413,0.997621,0.79376,0.358544,0.73059,0.684558,0.688638,120,84,94,84
-64.1838,0.991966,0.224526,2,7,0,65.5481,0.995467,0.881187,0.849696,0.730166,0.822805,0.707068,118,97,101,79
-64.6774,0.993267,0.224526,3,7,0,65.0006,0.994563,0.955578,0.82715,0.729988,0.562404,0.722235,120,79,107,89
-63.216,1,0.224526,4,15,0,65.5581,0.962824,0.958252,0.632479,0.723687,0.477352,0.722772,111,92,116,86
-62.3916,0.994622,0.224526,4,15,0,64.4979,0.878408,0.793067,0.849547,0.706492,0.693996,0.68849,106,85,89,82
-62.4145,0.995822,0.224526,3,15,0,62.849,0.917104,0.901484,0.871745,0.714452,0.757708,0.711254,111,82,110,87
-62.2341,0.995644,0.224526,4,15,0,63.1571,0.943778,0.80118,0.532878,0.719862,0.680097,0.690227,112,89,96,86
-62.2476,0.99618,0.224526,2,7,0,62.713,0.905191,0.827752,0.590588,0.712015,0.729751,0.695879,109,88,101,81
-62.3214,0.99702,0.224526,3,11,0,62.4874,0.955275,0.841767,0.204244,0.722175,0.623813,0.698837,116,86,102,86
-62.6806,0.990391,0.224526,2,7,0,63.3142,0.974801,0.756665,0.339514,0.726075,0.290988,0.680629,118,88,97,87
-62.2787,0.998229,0.224526,3,7,0,62.829,0.945779,0.767843,0.253892,0.720265,0.453158,0.683054,112,89,89,86
-64.6366,0.918621,0.224526,2,7,0,66.5234,0.959191,0.378628,0.742396,0.72296,0.764721,0.593542,119,88,43,79
-65.8819,0.996979,0.224526,4,15,0,65.9512,0.95292,0.257977,0.515094,0.721702,0.366083,0.564139,114,89,30,75
-65.3871,0.999093,0.224526,4,15,0,67.2643,0.99078,0.988039,0.586404,0.729242,0.42654,0.7287,119,88,118,80
-62.9955,0.999979,0.224526,4,15,0,65.6687,0.928996,0.956739,0.688769,0.716872,0.879767,0.722469,110,91,113,81
-62.2638,0.999325,0.224526,4,15,0,63.3209,0.94978,0.821495,0.467014,0.721071,0.31155,0.694554,116,91,101,93
-63.2965,0.986694,0.224526,3,13,0,63.7268,0.989102,0.781812,0.300451,0.728911,0.714173,0.686071,118,83,90,80
-64.0827,0.979171,0.224526,3,7,0,64.6441,0.989678,0.58006,0.410699,0.729024,0.754649,0.641081,120,93,62,80
